/usr/lib/python2.7/site-packages/ce[2018-07-27 13:27:53,288: INFO/MainProcess] beat: Starting...
[2018-07-27 13:39:46,303: INFO/MainProcess] Task switch.tasks.ping_IPAddress[33b8e360-01b2-444c-aac8-1e09b3b366c5] succeeded in 112.824488308s: None
[2018-07-27 13:39:53,483: INFO/MainProcess] Received task: switch.tasks.ping_IPAddress[63a8f778-8c59-40c9-be2f-143dcce30440]
[2018-07-27 13:39:53,648: INFO/MainProcess] Received task: switch.tasks.save_data[14911c2b-05a9-4aef-bc9d-106f34adae74]
[2018-07-27 13:39:53,719: INFO/MainProcess] Task switch.tasks.save_data[14911c2b-05a9-4aef-bc9d-106f34adae74] succeeded in 0.0697465301491s: None
[2018-07-27 13:40:29,665: INFO/MainProcess] Received task: switch.tasks.check_standard[7738a957-cbf4-4068-b33e-77c82355bcd9]
[2018-07-27 13:40:30,195: INFO/MainProcess] Task switch.tasks.check_standard[7738a957-cbf4-4068-b33e-77c82355bcd9] succeeded in 0.528450631071s: None
[2018-07-27 13:40:53,588: INFO/MainProcess] Received task: switch.tasks.save_brand[178fa73a-216a-44c4-8de2-53872a48abf4]
[2018-07-27 13:40:53,704: INFO/MainProcess] Received task: switch.tasks.gather_abnormal[7a0037fd-280a-40a5-87a6-742ce04d60b5]
[2018-07-27 13:40:53,727: INFO/MainProcess] Task switch.tasks.gather_abnormal[7a0037fd-280a-40a5-87a6-742ce04d60b5] succeeded in 0.0212737265974s: None
[2018-07-27 13:41:44,277: INFO/MainProcess] Task switch.tasks.ping_IPAddress[63a8f778-8c59-40c9-be2f-143dcce30440] succeeded in 110.790978133s: None
[2018-07-27 13:41:53,485: INFO/MainProcess] Received task: switch.tasks.ping_IPAddress[a892fe3b-45c8-4121-a290-20dea3739eab]
[2018-07-27 13:41:53,653: INFO/MainProcess] Received task: switch.tasks.save_data[9bc37cec-36f1-4689-b182-50e7de0203f5]
[2018-07-27 13:41:53,697: INFO/MainProcess] Task switch.tasks.save_data[9bc37cec-36f1-4689-b182-50e7de0203f5] succeeded in 0.0417867838405s: None
[2018-07-27 13:42:29,667: INFO/MainProcess] Received task: switch.tasks.check_standard[d649fe9b-9bdf-4377-b668-7588f122b815]
[2018-07-27 13:42:30,166: INFO/MainProcess] Task switch.tasks.check_standard[d649fe9b-9bdf-4377-b668-7588f122b815] succeeded in 0.497010082006s: None
[2018-07-27 13:42:53,591: INFO/MainProcess] Received task: switch.tasks.save_brand[967922dd-9a8e-42e1-b0a0-33a0a0bd68d3]
[2018-07-27 13:42:53,667: INFO/MainProcess] Task switch.tasks.save_brand[967922dd-9a8e-42e1-b0a0-33a0a0bd68d3] succeeded in 0.0740582519211s: None
[2018-07-27 13:42:53,707: INFO/MainProcess] Received task: switch.tasks.gather_abnormal[41cca3d9-fcfd-4034-813a-962b619b0e81]
[2018-07-27 13:42:53,742: INFO/MainProcess] Task switch.tasks.gather_abnormal[41cca3d9-fcfd-4034-813a-962b619b0e81] succeeded in 0.0337284090929s: None
[2018-07-27 13:43:43,971: INFO/MainProcess] Task switch.tasks.ping_IPAddress[a892fe3b-45c8-4121-a290-20dea3739eab] succeeded in 110.484337484s: None
